# Emitted HealthCheckResult check_name strings -- GENERATED, do not hand-edit.
# Regenerate: python3 scripts/ci/check_health_check_names.py --refresh
# One line per check method: the method, then every check_name string it emits.
# train.py's FATAL_HEALTH_CHECKS filter matches the EMITTED name, not the method
# name; the two diverge for some checks, and that is what this file shows (#1355).
<outside> scientific_metadata_expected_outcome
check_acceleration_adaptive_target_rate_consistent adaptive_target_rate_consistent
check_acceleration_bounds acceleration_bounds
check_acceleration_consistency acceleration_consistency
check_acceleration_present acceleration_present
check_acceleration_schedule_steps_match_diffusion acceleration_schedule_steps_match
check_acq_hypernetwork_config acq_vector_present spectral_norm_enabled
check_acquisition_params_required_for_bloch_grounded acquisition_params_required_for_bloch_grounded
check_acs_within_center_band acs_within_center_band
check_adapter_chain_channel_resolution adapter_chain_channel_resolution
check_adversarial_strategy_requires_gan_loss adversarial_strategy_requires_gan_loss
check_advertised_options advertised_options
check_ambient_requires_score_model ambient_requires_score_model
check_amp_grad_clip_interaction amp_grad_clip_interaction
check_attention_domain_compatibility attention_domain_compatibility
check_b0_field_metric_requires_hz_model b0_field_metric_requires_hz_model
check_bf16_requires_ampere bf16_requires_ampere
check_bloch_grounded_requires_reference_panel bloch_grounded_requires_reference_panel
check_bloch_synth_arm bloch_synth_arm bloch_synth_dispersion_bounds bloch_synth_seg_ramp_requires_segmenter bloch_synth_source_contrast_count
check_channel_audit_assumptions channel_audit_assumptions
check_chd_calibration_corpus_size chd_calibration_corpus_size_sufficient
check_checkpoint_existence checkpoint_existence
check_coil_flatten_image_norm_trap coil_flatten_image_norm_trap
check_coil_processing_consistency coil_processing_consistency
check_compile_with_complex_model compile_with_complex_model
check_compile_with_sharded_strategy compile_with_sharded_strategy
check_complex_unet_even_channels complex_unet_even_channels
check_component_kwargs_reach_constructor component_kwargs_reach_constructor
check_concomitant_required_at_ulf concomitant_required_at_ulf
check_concomitant_requires_low_field concomitant_requires_low_field
check_conditioning_sources_supported conditioning_sources_supported
check_contrast_conditioning_strategy_threaded contrast_conditioning_strategy_threaded
check_corruption_calibration_requires_tissue_prior corruption_calibration_requires_tissue_prior
check_curriculum_targets_consumed curriculum_targets_consumed
check_curriculum_targets_resolvable curriculum_targets_resolvable
check_cycle_bloch_requires_discriminator cycle_bloch_requires_discriminator
check_dangerous_data_requires_contract dangerous_data_requires_contract
check_data_consistency_requires_kspace data_consistency_kspace
check_data_efficiency_harness_settings_well_formed data_efficiency_harness_settings_well_formed
check_data_model_compatibility data_model_compatibility
check_dc_knobs_inert_by_method dc_knobs_inert_by_method
check_dc_method_physics_consistency dc_method_physics_consistency
check_dds_requires_score_model dds_requires_score_model
check_declared_keys_are_not_discarded declared_keys_are_not_discarded
check_declared_losses_registered declared_losses_registered
check_declared_model_kwargs_are_read declared_model_kwargs_are_read
check_deepcompile_supported deepcompile_supported
check_deepspeed_consolidated_best_checkpoint deepspeed_consolidated_best_checkpoint
check_deepspeed_extra_installed deepspeed_extra_installed
check_deepspeed_precision_coherent deepspeed_precision_coherent
check_deepspeed_topology_coherent deepspeed_topology_coherent
check_deepspeed_zero_stage_has_ranks_to_shard deepspeed_zero_stage_has_ranks_to_shard
check_denoising_model_channels denoising_model_channels
check_diffusion_precision_policy diffusion_precision_policy
check_discriminator_requires_gan_losses discriminator_gan_losses
